citation,auteur,
C'est la force et la liberté qui font les excellents hommes. La faiblesse et l'esclavage n'ont fait jamais que des méchants.,Jean-Jacques Rousseau,
"C'est là le fond de la joie d'amour, lorsqu'elle existe : nous sentir justifiés d'exister.",Jean-Paul Sartre,
C'est là le paradoxe suprême de la pensée que de vouloir découvrir quelque chose qu'elle-même ne puisse penser.,Soren Kierkegaard,
C'est la marque d'un esprit cultivé qu'être capable de nourrir une pensée sans la cautionner pour autant.,Aristote,
C'est la meilleure part de la beauté que celle qu'un tableau ne peut exprimer.,Francis Bacon (philosophe),
C'est la présence qui fait le silence d'une chambre.,Henry David Thoreau,
"C'est la superstition qui a fait immoler des victimes humaines, c'est la nécessité qui les a fait manger.",Voltaire,
"C'est la surprise, l'étonnement qui nous oblige à évoluer.",Edgar Morin,
C'est la vie et non point la mort qui sépare l'âme du corps.,Paul Valéry,
C'est la vie qui nous apprend et non l'école.,Sénèque,
C'est la vraie marque d'un philosophe que le sentiment d'étonnement.,Platon,
"C'est le coeur qui sent Dieu, et non la raison.",Blaise Pascal,
C'est le fait d'un homme sage de tirer profit de ses ennemis.,Xénophon,
C'est le fait d'un ignorant d'accuser les autres de ses propres échecs ; celui qui a commencé de s'instruire s'en accuse soi-même ; celui qui est instruit n'en accuse ni autrui ni soi-même.,épictète,
C'est le langage qui crée l'homme.,Jean D'Ormesson,
"C'est le langage, et non pas l'homme qui est unique.",Edgar Morin,
C'est le parent qui investit le plus son bébé qui devient le principal objet d'attachement - sans distinction de sexe - et ce rapport préférentiel n'en exclut pas d'autres.,Elisabeth Badinter,
"C'est le privilège du vrai génie, et surtout du génie qui ouvre une carrière de faire impunément de grandes fautes.",Voltaire,
C'est le propre de l'homme de se tromper ; seul l'insensé persiste dans son erreur.,Cicéron,
C'est le propre de la censure violente d'accréditer les opinions qu'elle attaque.,Voltaire,
C'est le sort d'un héros d'être persécuté.,Voltaire,
C'est le sort de presque tous les hommes de génie ; ils ne sont pas à portée de leur siècle ; ils écrivent pour la génération suivante.,Denis Diderot,
C'est le sort des monarchies que leur prospérité dépende du caractère d'un seul homme.,Voltaire,
C'est lors de la pleine lune que la lunarité du visage et la visagéité de la lune se marient de façon éphémère.,Edgar Morin,
C'est lorsque l'homme n'est pas assuré de sa relation avec Dieu qu'il y a relation avec Dieu. Malheureux ceux qui croient être en relation avec lui car ils ne le sont certainement pas.,Soren Kierkegaard,
C'est magnanimité que supporter avec calme le manque de tact.,Démocrite D'Abdère,
"C'est mieux pour un homme d'être riche, ça donne confiance.",Jean-Paul Sartre,
C'est n'être bon à rien de n'être bon qu'à soi.,Voltaire,
C'est n'être bon à rien que de n'être bon qu'à soi.,Voltaire,
C'est ne pas payer ses dettes que de refuser de justes louanges.,Voltaire,
"C'est par amour que j'ai étudié, veillé des nuits entières et que je me suis épuisé.",Thomas D'Aquin,
C'est par l'expérience que la science et l'art font leur progrès chez les hommes.,Aristote,
C'est par la nature que la plupart des êtres commandent ou obéissent.,Aristote,
C'est par la violence que nous nous éduquerons.,Jean-Paul Sartre,
"C'est parce que nous sommes si desséchés nous-mêmes, si vides et sans amour que nous avons permis aux gouvernements de s'emparer de l'éducation de nos enfants et de la direction de nos vies.",Jiddu Krishnamurti,
C'est parfois la peur de la mort qui pousse les hommes à la mort.,épicure,
C'est parfois une épine cachée et insupportable que nous avons dans la chair qui nous rend difficiles et durs avec tout le monde.,Paul Valéry,
C'est pendant l'orage qu'on connaît le pilote.,Sénèque,
C'est perdre de sa force que compatir.,Friedrich Nietzsche,
"C'est peut-être chez les artisans qu'il faut aller chercher les preuves les plus admirables de la sagacité de l'esprit, de sa patience et de ses ressources.",Denis Diderot,
C'est pour parvenir au repos que chacun travaille ; c'est encore la paresse qui rend laborieux.,Jean-Jacques Rousseau,
"C'est précisément dans les petites choses, où il ne songe pas à soigner sa contenance, que l'homme dévoile son caractère.",Arthur Schopenhauer,
C'est proprement avoir les yeux fermés sans tâcher jamais de les ouvrir que de vivre sans philosopher.,René Descartes,
C'est proprement ne valoir rien que de n'être utile à personne.,René Descartes,
C'est quand il y a quelque chose au-dessus de la vie que la vie devient belle.,Jean D'Ormesson,
C'est quand le danger est le plus grand que le salut est le plus proche.,Friedrich Hölderlin,
C'est quand on n'a plus d'espoir qu'il ne faut désespérer de rien.,Sénèque,
"C'est que le présent, d'ordinaire, nous blesse. Nous le cachons à notre vue, parce qu'il nous afflige et s'il nous est agréable, nous regrettons de le voir échapper.",Blaise Pascal,
C'est seulement quand l'hiver est arrivé qu'on s'aperçoit que le pin et le cyprès perdent leurs feuilles après tous les autres arbres.,Confucius,
C'est surtout dans la solitude qu'on sent l'avantage de vivre avec quelqu'un qui sait penser.,Jean-Jacques Rousseau,
"C'est tellement rare, c'est tellement improbable, c'est tellement miraculeux que c'est peut-être ça la civilisation et la culture. Rencontrer quelqu'un qui écoute.",Michel Serres,
C'est toujours ce qui éclaire qui demeure dans l'ombre.,Edgar Morin,
C'est toujours un grand mal que de juger dépassé ce qui est irremplaçable.,Gustave Thibon,
"C'est un bonheur d'être d'une grande naissance, ce n'est pas un malheur d'être d'une médiocre ; le mérite console tout.",Montesquieu,
C'est un défaut commun aux hommes que de confier aux autres leurs desseins.,Baruch Spinoza,
C'est un grand art que de vendre du vent.,Baltasar Gracian,
C'est un grand danger d'aimer Dieu comme un joueur aime le jeu.,Simone Weil,
C'est un homme sage celui qui ne regrette pas ce qu'il n'a pas mais se réjouit de ce qu'il possède.,épictète,
C'est un malheur de n'être point aimée ; mais c'est un affront que de ne l'être plus.,Montesquieu,
"C'est un malheur qu'il y a trop peu d'intervalles entre le temps où l'on est trop jeune, et le temps où l'on est trop vieux.",Montesquieu,
C'est un phénomène classique que la déchéance des études s'accompagne de l'inflation des diplômes et des titres.,Jean-François Revel,
C'est un poids bien pesant qu'un nom trop tôt fameux.,Voltaire,
C'est un tort égal de pécher par excès ou par défaut.,Confucius,
"C'est une absurdité de croire que la divinité ait des passions humaines, et l'une des plus basses des passions humaines, un incessant appétit d'applaudissements.",David Hume,
C'est une chose très différente que d'aimer ou que de jouir ; la preuve en est qu'on aime tous les jours sans jouir et qu'on jouit encore plus souvent sans aimer.,Marquis De Sade,
C'est une des superstitions de l'esprit humain d'avoir imaginé que la virginité pouvait être une vertu.,Voltaire,
C'est une ennuyeuse maladie qu'une santé conservée par un trop grand régime.,Montesquieu,
C'est une erreur de croire nécessairement faux ce qu'on ne comprend pas.,Gandhi,
C'est une erreur de croire que le salut public puisse commander une injustice.,Nicolas De Condorcet,
"C'est une erreur de croire que, chez les grands personnages, les services nouveaux fassent oublier les anciennes offenses.",Machiavel,
C'est une expérience éternelle que tout homme qui a du pouvoir est porté à en abuser.,Montesquieu,
C'est une grande force pour une phrase que le fait de sentir ou de ne pas sentir un homme derrière elle.,Ralph Waldo Emerson,
C'est une grande servitude qu'une grande carrière.,Sénèque,
C'est une lâcheté bien commune que celle d'immoler un bon homme à l'amusement des autres.,Denis Diderot,
C'est une maladie naturelle à l'homme de croire qu'il possède la vérité.,Blaise Pascal,
"C'est une malédiction pour les épis de ne pas être moissonnés, et ce serait une malédiction pour les hommes de ne pas mourir.",épictète,
"C'est une règle générale, partout où il a des mours douces il y a du commerce, et partout où il y a du commerce il y a des mours douces.",Montesquieu,
C'était un homme sage celui qui inventa Dieu.,Platon,
Cachez soigneusement votre supériorité de crainte de vous faire des ennemis.,Arthur Schopenhauer,
Cafardeux : couple qui s'ennuie.,Alain Finkielkraut,
"Calindrier : système de division du temps en baisers, en touche-moi et en mamours.",Alain Finkielkraut,
"Calomniez, calomniez, il en restera toujours quelque chose.",Francis Bacon (philosophe),
Camenbour : style de blagues qu'on aime bien faire entre la poire et le fromage.,Alain Finkielkraut,
"Car enfin, qu'est-ce qu'un homme dans la nature ? Un néant à l'égard de l'infini, un tout à l'égard du néant , un milieu entre rien et tout.",Blaise Pascal,
Car il est bien plus beau de savoir quelque chose de tout que de savoir tout d'une chose ; cette universalité est la plus belle.,Blaise Pascal,
Car la force est juste quand elle est nécessaire.,Machiavel,
"Car si le visage est le miroir de l'âme, les yeux en sont les interprètes.",Cicéron,
"Causer, n'est-ce pas produire ? Peut-être que la gratuité du créateur est plus pure quand il sait que ce qu'il crée ne sera que la flambée d'un moment.",François Hertel,
"Ce besoin de remords qui précède le mal, que dis-je ! qui le crée...",Emil Cioran,
"Ce concombre est amer ? Jette-le ! Il y a des ronces dans le chemin ? Détourne-toi ! C'est tout ce qu'il faut. Ne dis pas à ce sujet : ""Pourquoi ces choses-là se trouvent-elles dans le monde ?",,
"Ce concombre est amer ? Jette-le ! Il y a des ronces dans le chemin ? Détourne-toi ! C'est tout ce qu'il faut. Ne dis pas à ce sujet : ""Pourquoi ces choses-là se trouvent-elles dans le monde ?",,
"Ce dont on ne peut parler, il faut le taire.",Ludwig Wittgenstein,
"Ce matin est tout lumière, je ne sais dans quel fond de ma tête. Et il y a une présence qui n'est point de la pensée, aux portes de la pensée.",Paul Valéry,
"Ce matin, après avoir entendu un astronome parler de milliards de soleils, j'ai renoncé à faire ma toilette : à quoi bon se laver encore ?",Emil Cioran,
"Ce monde est la porte d'entrée. C'est une barrière. Et, en même temps, c'est le passage.",Simone Weil,
Ce monde est un vaste naufrage : sauve qui peut !,Voltaire,
"Ce monde, ce théâtre et d'orgueil et d'erreur, Est plein d'infortunés qui parlent de bonheur.",Voltaire,
"Ce n'est jamais le temps qui manque aux scélérats Pour nuire, et machiner de nouveaux attentats.",Sénèque,
"Ce n'est jamais quand des yeux vous regardent qu'on peut les trouver beaux ou laids, qu'on peut remarquer leur couleur.",Jean-Paul Sartre,
"Ce n'est ni le spleen, ni le marasme, ni le malheur. C'est quelque chose de plus âcre. C'est le désespoir.",François Hertel,
"Ce n'est pas assez d'avoir l'esprit bon, mais le principal est de l'appliquer bien.",René Descartes,
"Ce n'est pas ce qu'il a, ni même ce qu'il fait, qui exprime directement la valeur d'un homme : c'est ce qu'il est.",Henri-Frédéric Amiel,
"Ce n'est pas ce qui est criminel qui coûte le plus à dire, c'est ce qui est ridicule et honteux.",Jean-Jacques Rousseau,
Ce n'est pas d'argent seulement qu'ont besoin les infortunés.,Jean-Jacques Rousseau,
"Ce n'est pas d'un tête-à-tête ni d'un corps à corps, c'est d'un coeur à coeur que nous avons besoin.",Pierre Teilhard De Chardin,
"Ce n'est pas dans je ne sais quelle retraite que nous nous découvrirons : c'est sur la route, dans la ville, au milieu de la foule, chose parmi les choses, homme parmi les hommes.",Jean-Paul Sartre,
"Ce n'est pas dans la jouissance que consiste le bonheur, c'est dans le désir, c'est à briser les freins qu'oppose à ce désir.",Marquis De Sade,
"Ce n'est pas de vivre selon la science qui procure le bonheur ; ni même de réunir toutes les sciences à la fois, mais de posséder la seule science du bien et du mal.",Platon,
"Ce n'est pas Dieu qui a créé l'homme, mais l'homme qui a créé Dieu.",Voltaire,
"Ce n'est pas l'amour qu'il fallait peindre aveugle, c'est l'amour-propre.",Voltaire,
"Ce n'est pas l'esprit qui fait les opinions, c'est le coeur.",Montesquieu,
"Ce n'est pas l'incertitude qui rend fou, c'est la certitude.",Friedrich Nietzsche,
"Ce n'est pas l'intensité, c'est la durée d'un grand sentiment qui fait l'homme supérieur.",Friedrich Nietzsche,
Ce n'est pas la conscience des hommes qui détermine leur être. C'est inversement leur être social qui détermine leur conscience.,Karl Marx,
"Ce n'est pas la conscience des hommes qui déterminent leur existence, c'est au contraire leur existence sociale qui détermine leur conscience.",Karl Marx,
"Ce n'est pas la conscience qui détermine la vie, c'est la vie qui détermine la conscience.",Karl Marx,
"Ce n'est pas la folie qui est capable de bouleverser le monde, c'est la conscience.",Baruch Spinoza,
"Ce n'est pas la lumière qui manque à notre regard, c'est notre regard qui manque de lumière.",Gustave Thibon,
Ce n'est pas la peine de se tuer puisqu'on se tue toujours trop tard.,Emil Cioran,
"Ce n'est pas la peur d'entreprendre, c'est la peur de réussir, qui explique plus d'un échec.",Emil Cioran,
"Ce n'est pas la quantité de tes paroles que je mesure, mais la fécondité du coeur d'où provient ce que tu dis.",Pierre Abélard,
"Ce n'est pas la vérité qui est nue, c'est la recherche de la vérité qui est strip-teaseuse.",Edgar Morin,
"Ce n'est pas la volonté de Dieu simplement que nous soyons heureux, mais que nous nous rendions heureux.",Emmanuel Kant,
"Ce n'est pas le chemin qui est difficile, c'est le difficile qui est le chemin.",Soren Kierkegaard,
"Ce n'est pas le doute, c'est la certitude qui rend fou.",Friedrich Nietzsche,
